tf,relation,substrate
RAP1,regulates,PAU8
MSN4,regulates,SEO1
RAP1,regulates,TDA8
MSN2,regulates,YAL064W
RAP1,regulates,YAL064W
CIN5,regulates,YAL064W
TUP1,regulates,FLO9
SWI5,regulates,FLO9
STE12,regulates,FLO9
DAL82,regulates,FLO9
FHL1,regulates,FLO9
PDC2,regulates,PHO3
YAP5,regulates,PHO3
MCM1,regulates,PHO3
TEC1,regulates,PHO5
PHO2,regulates,PHO5
INO2,regulates,PHO5
PHO4,regulates,PHO5
FKH2,regulates,PHO5
RAP1,regulates,PHO5
TEC1,regulates,PBY1
ABF1,regulates,RXT2
ABF1,regulates,YBR096W
YAP1,regulates,YBR099C
HSF1,regulates,FES1
YAP5,regulates,FES1
SPT23,regulates,FES1
MSN2,regulates,FES1
STE12,regulates,SIF2
RTG3,regulates,YMC2
GCN4,regulates,YMC2
MSN2,regulates,VID24
RAP1,regulates,VID24
RDS2,regulates,VID24
MSN2,regulates,PHO88
RAP1,regulates,PHO88
RPN4,regulates,CMD1
CST6,regulates,CMD1
LEU3,regulates,YSA1
GCN4,regulates,RAD16
STE12,regulates,RAD16
ABF1,regulates,RAD16
GCN4,regulates,LYS2
ASH1,regulates,LYS2
YAP1,regulates,YBR116C
CIN5,regulates,YBR116C
FHL1,regulates,YBR116C
TEC1,regulates,TKL2
HSF1,regulates,TKL2
STE12,regulates,TKL2
YAP1,regulates,TKL2
MSN2,regulates,TKL2
CIN5,regulates,TKL2
FHL1,regulates,TKL2
TUP1,regulates,TEF2
GCN4,regulates,TEF2
HSF1,regulates,TEF2
RAP1,regulates,TEF2
CIN5,regulates,TEF2
SFP1,regulates,GRS1
STE12,regulates,TFC1
OAF1,regulates,TPS1
MSN2,regulates,TPS1
PIP2,regulates,VMA2
TOS8,regulates,OPY1
STE12,regulates,SHE3
TEC1,regulates,HSL7
TYE7,regulates,HSL7
MSN2,regulates,CKS1
GCR2,regulates,CKS1
OAF3,regulates,MEC1
STE12,regulates,YBR138C
FLO8,regulates,YBR139W
FKH1,regulates,YBR139W
STE12,regulates,IRA1
ABF1,regulates,SUP45
GCN4,regulates,ADH5
ABF1,regulates,ADH5
GCR2,regulates,ADH5
CIN5,regulates,ADH5
TYE7,regulates,ADH5
ABF1,regulates,MRPS9
STB1,regulates,MRPS9
GCN4,regulates,RTC2
SUM1,regulates,YSW1
MSN2,regulates,1.0
TEC1,regulates,TBS1
STE12,regulates,TBS1
MSN2,regulates,APD1
STE12,regulates,SPP381
XBP1,regulates,RIB7
SFP1,regulates,RPB5
PDR1,regulates,ICS2
SKN7,regulates,ICS2
ACE2,regulates,ICS2
SOK2,regulates,ICS2
MSN2,regulates,ICS2
SKO1,regulates,ICS2
FHL1,regulates,ICS2
SWI5,regulates,AMN1
STE12,regulates,AMN1
ACE2,regulates,AMN1
ABF1,regulates,IFA38
ACE2,regulates,IFA38
TEC1,regulates,TOS1
STE12,regulates,TOS1
ABF1,regulates,TOS1
ABF1,regulates,YSY6
ABF1,regulates,EXO5
ABF1,regulates,TYR1
DAL80,regulates,TYR1
MSN2,regulates,TYR1
HAP4,regulates,POP7
MCM1,regulates,POP7
HSF1,regulates,SSE2
SKN7,regulates,SSE2
GZF3,regulates,SSE2
ABF1,regulates,SSE2
SOK2,regulates,SSE2
MSN2,regulates,SSE2
CIN5,regulates,SSE2
YAP1,regulates,EHT1
INO4,regulates,EHT1
CIN5,regulates,YBR178W
ABF1,regulates,FZO1
YAP1,regulates,FZO1
SUM1,regulates,DTR1
YAP1,regulates,DTR1
TUP1,regulates,RPS6b
SFP1,regulates,RPS6b
TUP1,regulates,SMP1
STE12,regulates,SMP1
MSN2,regulates,SMP1
MSN2,regulates,YPC1
UME6,regulates,YBR184W
SFP1,regulates,PCH2
SFP1,regulates,NTC20
FHL1,regulates,NTC20
IFH1,regulates,RPS9b
SFP1,regulates,RPS9b
RAP1,regulates,RPS9b
STE12,regulates,YBR190W
SFP1,regulates,YBR190W
IFH1,regulates,RPL21a
SFP1,regulates,RPL21a
RAP1,regulates,RPL21a
GCR2,regulates,PGI1
RAP1,regulates,PGI1
GCR1,regulates,PGI1
ABF1,regulates,YBR197C
RAP1,regulates,YBR197C
ABF1,regulates,KTR4
MSN2,regulates,MCM7
MCM1,regulates,MCM7
AFT1,regulates,FTH1
HSF1,regulates,FTH1
AFT2,regulates,FTH1
GLN3,regulates,DUR1_2
DAL81,regulates,DUR1_2
TEC1,regulates,YBR209W
CIN5,regulates,YBR209W
CIN5,regulates,ERV15
9.0,regulates,ERV15
ABF1,regulates,NGR1
MET32,regulates,MET8
MET4,regulates,MET8
YRM1,regulates,YBP1
GCN4,regulates,PYC2
STE12,regulates,YBR220C
AFT1,regulates,PCS60
STE12,regulates,YBR225W
STE12,regulates,ROT2
ACE2,regulates,ROT2
ACE2,regulates,OM14
MSN2,regulates,OM14
ABF1,regulates,PBP2
AFT1,regulates,PRP5
STE12,regulates,PRP5
STE12,regulates,YBR238C
YAP1,regulates,YBR238C
STE12,regulates,ERT1
STE12,regulates,YBR241C
YAP1,regulates,YBR241C
CIN5,regulates,YBR241C
HAP3,regulates,GPX2
SKN7,regulates,GPX2
MSN4,regulates,GPX2
HAP4,regulates,GPX2
YAP1,regulates,GPX2
MSN2,regulates,GPX2
CRZ1,regulates,GPX2
GCN4,regulates,HIS7
CBF1,regulates,HIS7
ABF1,regulates,HIS7
BAS1,regulates,HIS7
GCN4,regulates,ARO4
CBF1,regulates,ARO4
SOK2,regulates,ARO4
STE12,regulates,SPO23
SOK2,regulates,SPO23
CST6,regulates,MRPS5
GCN4,regulates,TRS20
GCN4,regulates,MTC4
GCN4,regulates,RIB5
GCN4,regulates,POP4
STE12,regulates,SHM1
ABF1,regulates,YPT10
YOX1,regulates,TSC10
STE12,regulates,MRPL37
SOK2,regulates,SAF1
ABF1,regulates,MRPL27
SFP1,regulates,MRPL27
ABF1,regulates,SSH1
UME6,regulates,YBR284W
CBF1,regulates,ZSP1
ABF1,regulates,2.0
MET32,regulates,VBA2
ABF1,regulates,VBA2
MET32,regulates,SUL1
YHP1,regulates,SUL1
STE12,regulates,SUL1
MET4,regulates,SUL1
RAP1,regulates,PCA1
MET32,regulates,PHO89
PHO4,regulates,PHO89
STE12,regulates,PHO89
ASH1,regulates,PHO89
MAC1,regulates,PHO89
RAP1,regulates,PHO89
YRM1,regulates,PHO89
STE12,regulates,MAL32
TEC1,regulates,PAU24
SWI5,regulates,VBA3
STE12,regulates,VBA3
RAP1,regulates,YCL068C
RAP1,regulates,HMLALPHA2
ARO80,regulates,HMLALPHA1
STB5,regulates,HMLALPHA1
ARO80,regulates,YCL065W
STE12,regulates,YCL065W
MSN4,regulates,YCL065W
PIP2,regulates,YCL065W
GAL4,regulates,YCL065W
PHO4,regulates,CHA1
STE12,regulates,CHA1
ABF1,regulates,CHA1
CHA4,regulates,CHA1
FKH1,regulates,VAC17
CHA4,regulates,VAC17
STE12,regulates,MRC1
HSF1,regulates,KRR1
FKH2,regulates,KRR1
UME6,regulates,PRD1
RPN4,regulates,PEX34
STE12,regulates,PEX34
RPN4,regulates,KAR4
RME1,regulates,KAR4
STE12,regulates,KAR4
MCM1,regulates,KAR4
REB1,regulates,SPB1
STE12,regulates,SPB1
ZAP1,regulates,SPB1
ABF1,regulates,SPB1
YOX1,regulates,SPB1
HSF1,regulates,APA1
SUM1,regulates,SPS22
SKO1,regulates,POF1
HAC1,regulates,PDI1
STE12,regulates,PDI1
RAP1,regulates,PDI1
PDR3,regulates,YCL041C
PHO4,regulates,YCL042W
PDR1,regulates,YCL042W
CBF1,regulates,YCL042W
SOK2,regulates,YCL042W
RAP1,regulates,YCL042W
FHL1,regulates,YCL042W
PDR3,regulates,GLK1
MSN4,regulates,GLK1
MSN2,regulates,GLK1
RAP1,regulates,GLK1
GCR1,regulates,GLK1
STE12,regulates,GID7
YRM1,regulates,ATG22
SOK2,regulates,RRP7
PHO2,regulates,HIS4
GCN4,regulates,HIS4
GLN3,regulates,HIS4
BAS1,regulates,HIS4
MSN2,regulates,HIS4
RAP1,regulates,HIS4
STE12,regulates,RNQ1
RAP1,regulates,RNQ1
TEC1,regulates,FUS1
STE12,regulates,FUS1
YAP1,regulates,HBN1
CAD1,regulates,FRM2
YAP1,regulates,FRM2
OAF1,regulates,AGP1
TUP1,regulates,AGP1
UME6,regulates,AGP1
ADR1,regulates,AGP1
STP1,regulates,AGP1
SWI4,regulates,AGP1
STP2,regulates,AGP1
DAL81,regulates,AGP1
ASH1,regulates,AGP1
MSN2,regulates,AGP1
RAP1,regulates,AGP1
PDR1,regulates,KCC4
STE12,regulates,KCC4
MSN2,regulates,KCC4
GCN4,regulates,LEU2
STE12,regulates,LEU2
LEU3,regulates,LEU2
RAP1,regulates,LEU2
YAP1,regulates,BUD3
STE12,regulates,ILV6
MSN2,regulates,STP22
ABF1,regulates,LDB16
INO4,regulates,PGS1
ABF1,regulates,MRPL32
RPN4,regulates,CIT2
UPC2,regulates,CIT2
MSN2,regulates,CIT2
CAT8,regulates,CIT2
RTG1,regulates,CIT2
STE12,regulates,YCR007C
STE12,regulates,SAT4
ADR1,regulates,ADY2
STE12,regulates,ADY2
CAT8,regulates,ADY2
RAP1,regulates,ADY2
RPN4,regulates,1.0
MET32,regulates,1.0
STE12,regulates,1.0
MSN2,regulates,1.0
MET4,regulates,1.0
RAP1,regulates,1.0
GCR1,regulates,1.0
STE12,regulates,YCR015C
TEC1,regulates,CWH43
STE12,regulates,1.0
MSN4,regulates,1.0
YOX1,regulates,YCR018C_A
YAP7,regulates,YCR018C_A
STE12,regulates,MAK32
HSF1,regulates,HSP30
STE12,regulates,HSP30
SKN7,regulates,HSP30
MSN4,regulates,HSP30
YAP1,regulates,HSP30
SOK2,regulates,HSP30
MSN2,regulates,HSP30
MSN4,regulates,YCR022C
GCN4,regulates,YCR023C
RLM1,regulates,SLM5
YOX1,regulates,PMP1
SOK2,regulates,PMP1
RAP1,regulates,PMP1
HMS1,regulates,PMP1
MSN2,regulates,RHB1
YAP5,regulates,RPS14a
IFH1,regulates,RPS14a
SFP1,regulates,RPS14a
RAP1,regulates,RPS14a
YOX1,regulates,BPH1
INO4,regulates,SNT1
PHO4,regulates,PHO87
ZAP1,regulates,MATALPHA1
GZF3,regulates,MATALPHA1
TYE7,regulates,RRT12
GCN4,regulates,THR4
ABF1,regulates,THR4
YAP1,regulates,PWP2
YOX1,regulates,PWP2
GAL4,regulates,YIH1
TEC1,regulates,YCR061W
UME6,regulates,YCR061W
PDR1,regulates,YCR061W
STE12,regulates,YCR061W
HAP1,regulates,YCR061W
STE12,regulates,YCR064C
MSN2,regulates,BUD31
MBP1,regulates,HCM1
FLO8,regulates,HCM1
SWI4,regulates,HCM1
RAP1,regulates,HCM1
STE12,regulates,ATG15
MSN2,regulates,ATG15
RAP1,regulates,ATG15
MSN2,regulates,CPR4
RAP1,regulates,CPR4
RAP1,regulates,PAT1
YRM1,regulates,PAT1
RAP1,regulates,SRB8
RPN4,regulates,AHC2
ABF1,regulates,YCR085W
MSN2,regulates,CSM1
STE12,regulates,ABP1
TYE7,regulates,ABP1
TEC1,regulates,FIG2
STE12,regulates,FIG2
RPN4,regulates,CDC39
GCR2,regulates,OCA4
RTG3,regulates,HMRA2
YHP1,regulates,HMRA2
HAP2,regulates,HMRA2
RAP1,regulates,HMRA2
RAP1,regulates,HMRA1
GAL4,regulates,HMRA1
STE12,regulates,YCR097W_A
PHO2,regulates,GIT1
INO2,regulates,GIT1
PHO4,regulates,GIT1
ABF1,regulates,GIT1
SOK2,regulates,GIT1
MSN2,regulates,GIT1
RAP1,regulates,GIT1
INO4,regulates,GIT1
STE12,regulates,YCR102C
YAP1,regulates,YCR102C
MSN2,regulates,YCR102C
SKO1,regulates,YCR102C
HAL9,regulates,YCR102C
ROX1,regulates,YCR102C
RAP1,regulates,PAU3
TEC1,regulates,ADH7
PUT3,regulates,ADH7
YAP1,regulates,ADH7
YAP1,regulates,RDS1
GAL4,regulates,RDS1
TEC1,regulates,AAD3
RDS1,regulates,AAD3
PHO2,regulates,AAD3
AFT1,regulates,AAD3
SOK2,regulates,AAD3
PDR3,regulates,COS7
STE12,regulates,COS7
CRZ1,regulates,COS7
