substrate,ABF1,ACA1,ACE2,ADR1,AFT1,AFT2,ARG81,ARO80,ARR1,ASH1,BAS1,CAD1,CBF1,CHA4,CIN5,CRZ1,CST6,DAL81,DAL82,DIG1,ECM22,FHL1,FKH1,FKH2,FLO8,GAT1,GCN4,GCR1,GCR2,GLN3,GZF3,HAC1,HAL9,HAP1,HAP2,HAP3,HAP5,HCM1,HIR1,HIR2,HMO1,HMS2,HOT1,HSF1,IFH1,INO4,IXR1,LEU3,MAC1,MAL33,MBP1,MCM1,MET28,MET31,MET32,MET4,MIG1,MIG2,MOT3,MSN1,MSN2,MSS11,NRG1,OAF1,OAF3,OPI1,OTU1,PDC2,PDR1,PDR3,PHD1,PHO2,PHO4,PUT3,RAP1,RDS2,REB1,RFX1,RGT1,RIM101,RLM1,ROX1,RPH1,RPN4,RTG3,SFP1,SKN7,SKO1,SOK2,SPT23,STB1,STB5,STE12,STP1,STP2,SUM1,SWI4,SWI5,SWI6,TEC1,TUP1,TYE7,UGA3,UME6,YAP1,YAP3,YAP6,YHP1,YOX1,YRM1,YRR1,ZAP1
AAC1,0,0,0,0,0,0,0,0,0,0.013480,0,0,0,0,0,0,0,0,0,0,0,0.030949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAD10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198444,0,0,0,0.183809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAD16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158188,0,0,0,0,0,0,0
AAD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103526,0,0,0,0,0,0,0
AAT2,0.970622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.282418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.802802,0,0,0,0,0,0,0,0,2.018161,0,0,0,0,0,0,0,0,0,0
ABP140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.181444,0,0,0
ACB1,7.363148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.319183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.671366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.360671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.034527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
