substrate,tf
AAC1,ASH1
AAC1,FHL1
AAC1,MSN2
AAC1,SOK2
AAD10,SOK2
AAD10,STE12
AAD16,MSN2
AAD16,RPN4
AAD16,YAP1
AAD4,SOK2
AAD4,YAP1
AAT2,ABF1
AAT2,GCN4
ABF2,MCM1
ABF2,SWI4
ABP1,STE12
ABP1,TYE7
ABP140,YOX1
ACB1,ABF1
ACB1,MSN2
ACB1,STE12
ACC1,INO4
ACC1,MSN2
ACE2,FKH2
ACE2,INO4
ACH1,FLO8
ACH1,MSN2
ACH1,SOK2
ACM1,MBP1
ACM1,SWI4
ACM1,YHP1
ACO1,CIN5
ACO1,DAL81
ACO1,RAP1
ACO1,RTG3
ACO1,STE12
ACO1,TUP1
ACO1,YAP1
ACO2,GCN4
ACO2,MSN2
ACO2,RAP1
ACP1,ABF1
ACP1,MSN2
ACS1,ABF1
ACS1,ADR1
ACS1,RAP1
ACS1,SOK2
ACS1,STE12
ACS1,UME6
ACS1,YRM1
ACS2,HAP1
ACT1,REB1
ADA2,FHL1
ADA2,IFH1
ADA2,STE12
ADA2,TEC1
ADD37,STE12
ADD66,GCN4
ADE1,BAS1
ADE1,PHO2
ADE1,TEC1
ADE13,BAS1
ADE16,BAS1
ADE16,CIN5
ADE16,RAP1
ADE17,BAS1
ADE17,PHO2
ADE17,YAP1
ADE2,AFT1
ADE2,BAS1
ADE2,PHO2
ADE3,BAS1
ADE3,CBF1
ADE3,GCN4
ADE3,HAP5
ADE3,MET28
ADE3,MET31
ADE3,MET32
ADE3,MET4
ADE3,PHO2
ADE3,RAP1
ADE4,BAS1
ADE4,PHO2
ADE4,YRM1
ADE5_7,BAS1
ADE5_7,GCN4
ADE5_7,PHO2
ADE5_7,RAP1
ADE6,BAS1
ADE8,ABF1
ADE8,BAS1
ADE8,RAP1
ADH1,ABF1
ADH1,GCR1
ADH1,GCR2
ADH1,RAP1
ADH1,SOK2
ADH3,ABF1
ADH3,CBF1
ADH3,CRZ1
ADH3,IXR1
ADH3,RAP1
ADH4,ABF1
ADH4,TYE7
ADH4,YHP1
ADH4,ZAP1
ADH5,ABF1
ADH5,CIN5
ADH5,GCN4
ADH5,GCR2
ADH5,TYE7
ADH6,YAP1
ADI1,MET32
ADI1,MSN2
ADI1,SOK2
ADR1,FHL1
ADR1,MSN2
ADR1,STE12
ADY3,STE12
ADY3,YRM1
ADY4,MSN2
ADY4,STE12
ADY4,TEC1
AEP3,HSF1
AEP3,MSN2
AFG1,YAP1
AFG2,ACE2
AFG2,BAS1
AFG2,NRG1
AFG3,SOK2
AFR1,RLM1
AFR1,STE12
AFT1,AFT2
AFT2,YAP1
AGA1,MCM1
AGA1,MOT3
AGA1,ROX1
AGA1,STE12
AGA1,SWI4
AGA1,SWI6
AGA1,TEC1
AGA2,MSN2
AGA2,STE12
AGA2,TEC1
AGP1,ADR1
AGP1,ASH1
AGP1,DAL81
AGP1,MSN2
AGP1,OAF1
AGP1,RAP1
AGP1,STP1
AGP1,STP2
AGP1,SWI4
AGP1,TUP1
AGP1,UME6
AHA1,GCN4
AHA1,HSF1
AHA1,SPT23
AHA1,STE12
AHC1,RAP1
AHC1,SOK2
AHC2,RPN4
AHP1,CBF1
AHP1,HSF1
AHP1,MSN2
AHP1,SKN7
AHP1,SKO1
AHP1,YAP1
AIF1,YAP1
AIM10,STE12
AIM11,MSN2
AIM13,STE12
AIM13,YRM1
AIM17,CAD1
AIM17,MSN2
AIM17,OAF1
AIM17,PDR1
AIM18,STE12
AIM19,CBF1
AIM2,SOK2
AIM20,ASH1
AIM21,SWI5
AIM22,STE12
AIM29,CIN5
AIM29,MSN2
AIM29,STE12
AIM37,SOK2
AIM44,ACE2
AIM44,SWI5
AIM46,PUT3
AIM7,CIN5
AIM7,ZAP1
AIM9,ACE2
AIP1,RAP1
AIR1,STE12
AKR1,AFT1
ALD2,STE12
ALD3,CAD1
ALD3,MSN2
ALD4,ADR1
ALD4,PDR1
ALD4,RAP1
ALD5,ABF1
ALD5,ADR1
ALD5,CIN5
ALD5,GCN4
ALD5,MSN2
ALD5,PHO4
ALD5,RAP1
ALD5,SOK2
ALD5,STE12
ALD5,YAP1
ALD6,ADR1
ALD6,GCN4
ALD6,MSN2
ALD6,SOK2
ALD6,STB5
ALD6,STE12
ALD6,YAP1
ALD6,YRM1
ALF1,ABF1
ALF1,STE12
ALG13,RPN4
ALG13,STE12
ALG14,ASH1
ALG14,CIN5
ALG14,MBP1
ALG14,SWI4
ALG3,RAP1
ALG5,RAP1
ALO1,MSN2
ALR2,STE12
ALT1,CIN5
ALT2,ADR1
ALT2,MSN2
ALY2,TEC1
AMN1,ACE2
AMN1,STE12
AMN1,SWI5
ANB1,HAP1
ANB1,MOT3
ANB1,ROX1
ANB1,STE12
ANP1,ABF1
ANT1,ABF1
APA1,HSF1
APA2,STE12
APC2,BAS1
APD1,MSN2
APE2,RAP1
APE2,STE12
APE2,TEC1
APJ1,MSN2
APL2,ABF1
APL3,STE12
APL3,TEC1
APL4,UME6
APL5,AFT1
APP1,CBF1
APT2,ABF1
APT2,MIG1
APT2,MSN2
APT2,RAP1
APT2,TUP1
AQR1,GCN4
AQR1,MSN2
AQR1,NRG1
AQR1,RDS2
AQR1,SOK2
AQR1,SPT23
ARB1,HSF1
ARC19,PDR3
ARD1,SOK2
ARE2,OAF3
ARE2,PDR3
ARE2,RAP1
ARE2,TEC1
ARE2,YAP1
ARE2,YRM1
ARF1,RAP1
ARF2,MSN2
ARF3,MCM1
ARG1,ABF1
ARG1,ARG81
ARG1,GCN4
ARG1,GLN3
ARG1,MCM1
ARG1,SKN7
ARG1,STP1
ARG1,TEC1
ARG2,GCN4
ARG3,ARG81
ARG3,ASH1
ARG3,GCN4
ARG3,GLN3
ARG3,RAP1
ARG3,RFX1
ARG3,STE12
ARG4,GCN4
ARG4,GLN3
ARG4,RTG3
ARG4,YAP1
ARG5_6,ARG81
ARG5_6,GCN4
ARG5_6,LEU3
ARG5_6,SOK2
ARG5_6,YAP1
ARG7,ABF1
ARG7,GCN4
ARG8,ARG81
ARG8,DAL82
ARG8,GCN4
ARI1,CIN5
ARI1,SOK2
ARI1,YOX1
ARN1,AFT1
ARN1,BAS1
ARN1,FLO8
ARN1,YHP1
ARN2,AFT1
ARO1,GCN4
ARO1,HSF1
ARO1,MSN2
ARO1,RPN4
ARO2,GCN4
ARO2,MSN2
ARO2,PHO4
ARO3,ABF1
ARO3,GCN4
ARO3,UME6
ARO4,CBF1
ARO4,GCN4
ARO4,SOK2
ARO7,DIG1
ARO7,SOK2
ARO8,GCN4
ART10,STE12
ASC1,FHL1
ASC1,IFH1
ASC1,RAP1
ASE1,ABF1
ASE1,MCM1
ASE1,YAP1
